Tanggal,Curah_Hujan_mm,Suhu_Rata_C,Nama Provinsi,Tahun,Bulan
2021-08-04,0.1,19.7,Aceh,2021,Agustus
2021-08-05,0.0,20.4,Aceh,2021,Agustus
2021-08-06,0.1,20.2,Aceh,2021,Agustus
2021-08-07,0.4,19.8,Aceh,2021,Agustus
2021-08-08,4.7,19.5,Aceh,2021,Agustus
2021-08-09,10.9,19.8,Aceh,2021,Agustus
2021-08-10,39.7,18.9,Aceh,2021,Agustus
2021-08-11,6.4,19.2,Aceh,2021,Agustus
2021-08-12,0.6,19.5,Aceh,2021,Agustus
2021-08-13,3.7,19.0,Aceh,2021,Agustus
2021-08-14,11.5,18.9,Aceh,2021,Agustus
2021-08-15,3.6,19.0,Aceh,2021,Agustus
2021-08-16,8.9,18.8,Aceh,2021,Agustus
2021-08-17,3.8,18.8,Aceh,2021,Agustus
2021-08-18,9.5,17.1,Aceh,2021,Agustus
2021-08-19,6.2,17.7,Aceh,2021,Agustus
2021-08-20,1.9,18.8,Aceh,2021,Agustus
2021-08-21,20.9,18.8,Aceh,2021,Agustus
2021-08-22,2.6,18.3,Aceh,2021,Agustus
2021-08-23,2.7,19.1,Aceh,2021,Agustus
2021-08-24,4.2,18.9,Aceh,2021,Agustus
2021-08-25,0.0,19.4,Aceh,2021,Agustus
2021-08-26,8.5,19.4,Aceh,2021,Agustus
2021-08-27,2.1,19.6,Aceh,2021,Agustus
2021-08-28,0.3,20.0,Aceh,2021,Agustus
2021-08-29,7.3,19.6,Aceh,2021,Agustus
2021-08-30,21.5,19.3,Aceh,2021,Agustus
2021-08-31,9.9,19.4,Aceh,2021,Agustus
2021-09-01,6.3,19.4,Aceh,2021,September
2021-09-02,0.0,19.9,Aceh,2021,September
2021-09-03,0.0,19.7,Aceh,2021,September
2021-09-04,0.0,20.1,Aceh,2021,September
2021-09-05,0.2,19.5,Aceh,2021,September
2021-09-06,0.4,19.5,Aceh,2021,September
2021-09-07,0.7,19.9,Aceh,2021,September
2021-09-08,6.3,19.0,Aceh,2021,September
2021-09-09,2.2,19.2,Aceh,2021,September
2021-09-10,0.2,19.7,Aceh,2021,September
2021-09-11,1.7,19.7,Aceh,2021,September
2021-09-12,1.3,19.6,Aceh,2021,September
2021-09-13,5.5,18.5,Aceh,2021,September
2021-09-14,0.0,19.5,Aceh,2021,September
2021-09-15,0.0,19.3,Aceh,2021,September
2021-09-16,0.1,19.6,Aceh,2021,September
2021-09-17,3.1,19.7,Aceh,2021,September
2021-09-18,9.0,19.3,Aceh,2021,September
2021-09-19,6.8,19.2,Aceh,2021,September
2021-09-20,8.0,18.6,Aceh,2021,September
2021-09-21,0.2,19.6,Aceh,2021,September
2021-09-22,0.2,19.6,Aceh,2021,September
2021-09-23,0.0,19.8,Aceh,2021,September
2021-09-24,1.7,19.7,Aceh,2021,September
2021-09-25,2.6,19.7,Aceh,2021,September
2021-09-26,6.3,18.4,Aceh,2021,September
2021-09-27,3.7,19.0,Aceh,2021,September
2021-09-28,15.4,19.5,Aceh,2021,September
2021-09-29,7.8,19.2,Aceh,2021,September
2021-09-30,4.4,19.5,Aceh,2021,September
2021-10-01,5.9,18.0,Aceh,2021,Oktober
2021-10-02,0.0,20.0,Aceh,2021,Oktober
2021-10-03,0.0,19.4,Aceh,2021,Oktober
2021-10-04,0.8,19.7,Aceh,2021,Oktober
2021-10-05,0.2,19.7,Aceh,2021,Oktober
2021-10-06,1.0,19.8,Aceh,2021,Oktober
2021-10-07,0.2,19.6,Aceh,2021,Oktober
2021-10-08,0.0,19.7,Aceh,2021,Oktober
2021-10-09,0.4,19.6,Aceh,2021,Oktober
2021-10-10,0.0,19.3,Aceh,2021,Oktober
2021-10-11,0.0,19.7,Aceh,2021,Oktober
2021-10-12,0.0,19.7,Aceh,2021,Oktober
2021-10-13,0.5,19.8,Aceh,2021,Oktober
2021-10-14,0.4,20.2,Aceh,2021,Oktober
2021-10-15,0.4,20.0,Aceh,2021,Oktober
2021-10-16,3.8,19.1,Aceh,2021,Oktober
2021-10-17,15.5,19.3,Aceh,2021,Oktober
2021-10-18,3.8,19.1,Aceh,2021,Oktober
2021-10-19,2.9,19.7,Aceh,2021,Oktober
2021-10-20,10.2,18.5,Aceh,2021,Oktober
2021-10-21,6.7,19.3,Aceh,2021,Oktober
2021-10-22,4.6,18.6,Aceh,2021,Oktober
2021-10-23,8.8,19.1,Aceh,2021,Oktober
2021-10-24,4.0,18.9,Aceh,2021,Oktober
2021-10-25,34.4,19.1,Aceh,2021,Oktober
2021-10-26,28.7,19.9,Aceh,2021,Oktober
2021-10-27,18.5,19.7,Aceh,2021,Oktober
2021-10-28,1.8,19.8,Aceh,2021,Oktober
2021-10-29,5.0,19.9,Aceh,2021,Oktober
2021-10-30,6.8,18.7,Aceh,2021,Oktober
2021-10-31,5.2,18.7,Aceh,2021,Oktober
2021-11-01,13.9,19.1,Aceh,2021,November
2021-11-02,36.4,18.8,Aceh,2021,November
2021-11-03,1.7,18.9,Aceh,2021,November
2021-11-04,26.5,18.7,Aceh,2021,November
2021-11-05,38.5,19.0,Aceh,2021,November
2021-11-06,1.8,19.4,Aceh,2021,November
2021-11-07,37.4,19.2,Aceh,2021,November
2021-11-08,35.8,19.3,Aceh,2021,November
2021-11-09,13.3,19.5,Aceh,2021,November
2021-11-10,15.4,19.0,Aceh,2021,November
2021-11-11,14.1,19.0,Aceh,2021,November
2021-11-12,12.6,18.6,Aceh,2021,November
2021-11-13,0.2,19.7,Aceh,2021,November
2021-11-14,0.0,19.6,Aceh,2021,November
2021-11-15,3.3,20.2,Aceh,2021,November
2021-11-16,21.4,19.6,Aceh,2021,November
2021-11-17,13.8,18.1,Aceh,2021,November
2021-11-18,2.3,18.5,Aceh,2021,November
2021-11-19,18.0,18.6,Aceh,2021,November
2021-11-20,7.0,19.9,Aceh,2021,November
2021-11-21,9.6,19.4,Aceh,2021,November
2021-11-22,24.8,19.1,Aceh,2021,November
2021-11-23,12.4,19.2,Aceh,2021,November
2021-11-24,30.7,19.1,Aceh,2021,November
2021-11-25,1.0,19.1,Aceh,2021,November
2021-11-26,4.4,19.0,Aceh,2021,November
2021-11-27,29.2,19.1,Aceh,2021,November
2021-11-28,12.7,18.2,Aceh,2021,November
2021-11-29,23.9,18.5,Aceh,2021,November
2021-11-30,23.8,18.4,Aceh,2021,November
2021-12-01,0.5,19.5,Aceh,2021,Desember
2021-12-02,3.6,18.7,Aceh,2021,Desember
2021-12-03,15.8,19.0,Aceh,2021,Desember
2021-12-04,1.3,19.4,Aceh,2021,Desember
2021-12-05,1.7,18.6,Aceh,2021,Desember
2021-12-06,1.4,19.0,Aceh,2021,Desember
2021-12-07,4.7,19.5,Aceh,2021,Desember
2021-12-08,1.6,18.8,Aceh,2021,Desember
2021-12-09,10.6,18.8,Aceh,2021,Desember
2021-12-10,1.3,19.0,Aceh,2021,Desember
2021-12-11,19.0,19.5,Aceh,2021,Desember
2021-12-12,5.8,19.3,Aceh,2021,Desember
2021-12-13,3.5,19.3,Aceh,2021,Desember
2021-12-14,18.5,19.4,Aceh,2021,Desember
2021-12-15,4.9,19.1,Aceh,2021,Desember
2021-12-16,8.9,19.6,Aceh,2021,Desember
2021-12-17,9.5,19.2,Aceh,2021,Desember
2021-12-18,27.8,17.6,Aceh,2021,Desember
2021-12-19,15.9,18.0,Aceh,2021,Desember
2021-12-20,8.5,18.8,Aceh,2021,Desember
2021-12-21,13.9,19.2,Aceh,2021,Desember
2021-12-22,0.1,19.3,Aceh,2021,Desember
2021-12-23,0.8,19.0,Aceh,2021,Desember
2021-12-24,0.3,18.8,Aceh,2021,Desember
2021-12-25,0.0,19.1,Aceh,2021,Desember
2021-12-26,0.6,19.2,Aceh,2021,Desember
2021-12-27,0.2,19.2,Aceh,2021,Desember
2021-12-28,1.0,18.7,Aceh,2021,Desember
2021-12-29,0.1,18.8,Aceh,2021,Desember
2021-12-30,3.6,18.0,Aceh,2021,Desember
2021-12-31,19.6,18.4,Aceh,2021,Desember
2022-01-01,17.0,18.8,Aceh,2022,Januari
2022-01-02,16.9,18.7,Aceh,2022,Januari
2022-01-03,8.8,18.7,Aceh,2022,Januari
2022-01-04,18.3,18.7,Aceh,2022,Januari
2022-01-05,13.5,18.7,Aceh,2022,Januari
2022-01-06,15.1,18.8,Aceh,2022,Januari
2022-01-07,5.7,18.7,Aceh,2022,Januari
2022-01-08,6.1,18.4,Aceh,2022,Januari
2022-01-09,25.1,18.6,Aceh,2022,Januari
2022-01-10,11.2,18.7,Aceh,2022,Januari
2022-01-11,2.1,19.2,Aceh,2022,Januari
2022-01-12,8.6,19.0,Aceh,2022,Januari
2022-01-13,4.3,18.6,Aceh,2022,Januari
2022-01-14,1.7,18.5,Aceh,2022,Januari
2022-01-15,0.8,18.6,Aceh,2022,Januari
2022-01-16,2.8,18.6,Aceh,2022,Januari
2022-01-17,4.0,18.8,Aceh,2022,Januari
2022-01-18,8.9,18.9,Aceh,2022,Januari
2022-01-19,0.0,18.4,Aceh,2022,Januari
2022-01-20,0.6,18.6,Aceh,2022,Januari
2022-01-21,1.2,19.3,Aceh,2022,Januari
2022-01-22,1.3,19.1,Aceh,2022,Januari
2022-01-23,0.5,18.9,Aceh,2022,Januari
2022-01-24,1.9,19.0,Aceh,2022,Januari
2022-01-25,4.9,18.7,Aceh,2022,Januari
2022-01-26,0.5,19.1,Aceh,2022,Januari
2022-01-27,0.6,19.9,Aceh,2022,Januari
2022-01-28,0.1,19.5,Aceh,2022,Januari
2022-01-29,2.3,19.6,Aceh,2022,Januari
2022-01-30,1.3,19.0,Aceh,2022,Januari
2022-01-31,2.5,19.6,Aceh,2022,Januari
2022-02-01,7.9,19.7,Aceh,2022,Februari
2022-02-02,9.2,18.9,Aceh,2022,Februari
2022-02-03,14.4,18.7,Aceh,2022,Februari
2022-02-04,16.6,18.4,Aceh,2022,Februari
2022-02-05,9.6,18.1,Aceh,2022,Februari
2022-02-06,19.5,18.7,Aceh,2022,Februari
2022-02-07,3.6,18.2,Aceh,2022,Februari
2022-02-08,4.3,19.7,Aceh,2022,Februari
2022-02-09,10.0,18.1,Aceh,2022,Februari
2022-02-10,1.9,18.4,Aceh,2022,Februari
2022-02-11,14.0,18.6,Aceh,2022,Februari
2022-02-12,10.1,19.2,Aceh,2022,Februari
2022-02-13,14.3,18.7,Aceh,2022,Februari
2022-02-14,27.4,19.1,Aceh,2022,Februari
2022-02-15,12.4,19.0,Aceh,2022,Februari
2022-02-16,7.7,19.2,Aceh,2022,Februari
2022-02-17,13.1,19.1,Aceh,2022,Februari
2022-02-18,0.0,20.4,Aceh,2022,Februari
2022-02-19,0.0,20.0,Aceh,2022,Februari
2022-02-20,0.0,18.7,Aceh,2022,Februari
2022-02-21,0.0,19.3,Aceh,2022,Februari
2022-02-22,13.0,19.1,Aceh,2022,Februari
2022-02-23,17.2,18.1,Aceh,2022,Februari
2022-02-24,6.0,18.2,Aceh,2022,Februari
2022-02-25,28.9,18.1,Aceh,2022,Februari
2022-02-26,41.4,18.2,Aceh,2022,Februari
2022-02-27,31.1,18.3,Aceh,2022,Februari
2022-02-28,25.6,18.7,Aceh,2022,Februari
2022-03-01,33.1,20.0,Aceh,2022,Maret
2022-03-02,16.5,19.9,Aceh,2022,Maret
